Id,Name,Description,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Weight,Height,Image_File,Is_Legendary
221,piloswine,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly.",100,100,80,60,60,50,558,11,221.png,0
222,corsola,It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.,65,55,95,65,95,35,50,6,222.png,0
223,remoraid,It has superb ac­ curacy. The water it shoots out can strike even moving prey from more than 300 feet.,35,65,35,65,35,65,120,6,223.png,0
224,octillery,It traps enemies with its suction- cupped tentacles then smashes them with its rock-hard head.,75,105,75,105,75,45,285,9,224.png,0
225,delibird,It carries food all day long. There are tales about lost people who were saved by the food it had.,45,55,45,65,45,75,160,9,225.png,0
226,mantine,"As it majestically swims, it doesn't care if REMORAID attach to it for scavenging its leftovers.",85,40,70,80,140,70,2200,21,226.png,0
227,skarmory,"Its sturdy wings look heavy, but they are actually hollow and light, allowing it to fly freely in the sky.",65,80,140,40,70,70,505,17,227.png,0
228,houndour,It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.,45,60,30,80,50,65,108,6,228.png,0
229,houndoom,"If you are burned by the flames it shoots from its mouth, the pain will never go away.",75,90,50,110,80,95,350,14,229.png,0
230,kingdra,It is said that it usually hides in underwater caves. It can create whirlpools by yawning.,75,95,95,95,95,85,1520,18,230.png,0
231,phanpy,"It swings its long snout around play­ fully, but because it is so strong, that can be dan­ gerous.",90,60,60,40,40,40,335,5,231.png,0
232,donphan,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house.",90,120,120,60,60,50,1200,11,232.png,0
233,porygon2,"This upgraded version of PORYGON is designed for space exploration. It can't fly, though.",85,80,90,105,95,60,325,6,233.png,0
234,stantler,The curved antlers subtly change the flow of air to create a strange space where real­ ity is distorted.,73,95,62,85,65,85,712,14,234.png,0
235,smeargle,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.,55,20,35,20,45,75,580,12,235.png,0
236,tyrogue,"It is always bursting with en­ ergy. To make it­ self stronger, it keeps on fighting even if it loses.",35,35,35,35,35,35,210,7,236.png,0
237,hitmontop,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard.",50,95,95,35,110,70,480,14,237.png,0
238,smoochum,Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.,45,30,15,85,65,65,60,4,238.png,0
239,elekid,"It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit.",45,63,37,65,55,95,235,6,239.png,0
240,magby,"Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils.",45,75,37,70,55,83,214,7,240.png,0
241,miltank,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary.",95,80,105,40,70,100,755,12,241.png,0
242,blissey,Anyone who takes even one bite of BLISSEY's egg be­ comes unfailingly caring and pleas­ ant to everyone.,255,10,10,75,135,55,468,15,242.png,0
243,raikou,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.,90,85,75,115,100,115,1780,19,243.png,1
244,entei,"Volcanoes erupt when it barks. Un­ able to restrain its extreme power, it races headlong around the land.",115,115,85,90,75,100,1980,21,244.png,1
245,suicune,"Said to be the reincarnation of north winds, it can instantly purify filthy, murky water.",100,75,115,90,115,85,1870,20,245.png,1
246,larvitar,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow.",50,64,50,45,50,41,720,6,246.png,0
247,pupitar,"Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain.",70,84,70,65,70,51,1520,12,247.png,0
248,tyranitar,"Its body can't be harmed by any sort of attack, so it is very eager to make challenges against enemies.",100,134,110,95,100,61,2020,20,248.png,0
249,lugia,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.,106,90,130,90,154,110,2160,52,249.png,1
250,ho-oh,Legends claim this POKéMON flies the world's skies con­ tinuously on its magnificent seven- colored wings.,106,130,90,110,154,90,1990,38,250.png,1
251,celebi,This POKéMON wan­ ders across time. Grass and trees flourish in the forests in which it has appeared.,100,100,100,100,100,100,50,6,251.png,1
252,treecko,TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls. This POKéMON attacks by slamming foes with its thick tail.,40,45,35,65,55,70,50,5,252.png,0
253,grovyle,The leaves growing out of GROVYLE’s body are convenient for camouflaging it from enemies in the forest. This POKéMON is a master at climbing trees in jungles.,50,65,45,85,65,95,216,9,253.png,0
254,sceptile,The leaves growing on SCEPTILE’s body are very sharp edged. This POKéMON is very agile - it leaps all over the branches of trees and jumps on its foe from above or behind.,70,85,65,105,85,120,522,17,254.png,0
255,torchic,"TORCHIC sticks with its TRAINER, following behind with unsteady steps. This POKéMON breathes fire of over 1,800 degrees F, including fireballs that leave the foe scorched black.",45,60,40,70,50,45,25,4,255.png,0
256,combusken,"COMBUSKEN toughens up its legs and thighs by running through fields and mountains. This POKéMON’s legs possess both speed and power, enabling it to dole out ten kicks in one second.",60,85,60,85,60,55,195,9,256.png,0
257,blaziken,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this POKéMON’s wrists burn.",80,120,70,110,70,80,520,19,257.png,0
258,mudkip,"The fin on MUDKIP’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this POKéMON can determine what is taking place around it without using its eyes.",50,70,50,50,50,40,76,4,258.png,0
259,marshtomp,"The surface of MARSHTOMP’s body is enveloped by a thin, sticky film that enables it to live on land. This POKéMON plays in mud on beaches when the ocean tide is low.",70,85,70,60,70,50,280,7,259.png,0
260,swampert,SWAMPERT is very strong. It has enough power to easily drag a boulder weighing more than a ton. This POKéMON also has powerful vision that lets it see even in murky water.,100,110,90,85,90,60,819,15,260.png,0
261,poochyena,"At first sight, POOCHYENA takes a bite at anything that moves. This POKéMON chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back.",35,55,35,30,30,35,136,5,261.png,0
262,mightyena,MIGHTYENA gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This POKéMON will bite savagely with its sharply pointed fangs.,70,90,70,60,60,70,370,10,262.png,0
263,zigzagoon,ZIGZAGOON restlessly wanders everywhere at all times. This POKéMON does so because it is very curious. It becomes interested in anything that it happens to see.,38,30,41,30,41,60,175,4,263.png,0
264,linoone,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This POKéMON is very challenged by gently curving roads.",78,70,61,50,61,100,325,5,264.png,0
265,wurmple,"Using the spikes on its rear end, WURMPLE peels the bark off trees and feeds on the sap that oozes out. This POKéMON’s feet are tipped with suction pads that allow it to cling to glass without slipping.",45,45,35,20,30,20,36,3,265.png,0
266,silcoon,"SILCOON tethers itself to a tree branch using silk to keep from falling. There, this POKéMON hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole.",50,35,55,25,25,15,100,6,266.png,0
267,beautifly,"BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this POKéMON, just leave a potted flower by an open window. BEAUTIFLY is sure to come looking for pollen.",60,70,50,100,50,65,284,10,267.png,0
268,cascoon,"CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This POKéMON prepares for its evolution inside the cocoon.",50,35,55,25,25,15,115,7,268.png,0
269,dustox,"DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food.",60,50,70,50,90,65,316,12,269.png,0
270,lotad,"LOTAD live in ponds and lakes, where they float on the surface. It grows weak if its broad leaf dies. On rare occasions, this POKéMON travels on land in search of clean water.",40,30,30,40,50,30,26,5,270.png,0
271,lombre,"LOMBRE is nocturnal - it will get active after dusk. It is also a mischief-maker. When this POKéMON spots anglers, it tugs on their fishing lines from beneath the surface and enjoys their consternation.",60,50,50,60,70,50,325,12,271.png,0
272,ludicolo,"LUDICOLO begins dancing as soon as it hears cheerful, festive music. This POKéMON is said to appear when it hears the singing of children on hiking outings.",80,70,70,90,100,70,550,15,272.png,0
273,seedot,"SEEDOT attaches itself to a tree branch using the top of its head. It sucks moisture from the tree while hanging off the branch. The more water it drinks, the glossier this POKéMON’s body becomes.",40,40,50,30,30,30,40,5,273.png,0
274,nuzleaf,NUZLEAF live in densely overgrown forests. They occasionally venture out of the forest to startle people. This POKéMON dislikes having its long nose pinched.,70,70,40,60,40,60,280,10,274.png,0
275,shiftry,SHIFTRY is a mysterious POKéMON that is said to live atop towering trees dating back over a thousand years. It creates terrific windstorms with the fans it holds.,90,100,60,90,60,80,596,13,275.png,0
276,taillow,"TAILLOW courageously stands its ground against foes, however strong they may be. This gutsy POKéMON will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry.",40,55,30,30,30,85,23,3,276.png,0
277,swellow,"SWELLOW flies high above our heads, making graceful arcs in the sky. This POKéMON dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by SWELLOW’s clawed feet, preventing escape.",60,85,60,75,50,125,198,7,277.png,0
278,wingull,WINGULL has the habit of carrying prey and valuables in its beak and hiding them in all sorts of locations. This POKéMON rides the winds and flies as if it were skating across the sky.,40,30,30,55,30,85,95,6,278.png,0
279,pelipper,PELIPPER is a flying transporter that carries small POKéMON and eggs inside its massive bill. This POKéMON builds its nest on steep cliffs facing the sea.,60,50,100,95,70,65,280,12,279.png,0
280,ralts,"RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition.",28,25,25,45,35,40,66,4,280.png,0
281,kirlia,It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain.,38,35,35,65,55,50,202,8,281.png,0
282,gardevoir,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power.",68,65,65,125,115,80,484,16,282.png,0
283,surskit,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes.",40,30,32,50,52,65,17,5,283.png,0
284,masquerain,MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.,70,60,62,100,82,80,36,8,284.png,0
285,shroomish,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves.",60,40,60,40,60,35,45,4,285.png,0
286,breloom,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame.",60,130,80,60,60,70,392,12,286.png,0
287,slakoth,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves.",60,60,60,35,35,30,240,8,287.png,0
288,vigoroth,VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.,80,80,80,55,55,90,465,14,288.png,0
289,slaking,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot.",150,160,100,95,65,100,1305,20,289.png,0
290,nincada,NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.,31,45,90,30,30,40,55,5,290.png,0
291,ninjask,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible.",61,90,45,50,50,160,120,8,291.png,0
292,shedinja,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back.",1,90,45,30,30,40,12,8,292.png,0
293,whismur,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume.",64,51,23,51,23,28,163,6,293.png,0
294,loudred,LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.,84,71,43,71,43,48,405,10,294.png,0
295,exploud,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow.",104,91,63,91,73,68,840,15,295.png,0
296,makuhita,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving.",72,60,30,20,30,25,864,10,296.png,0
297,hariyama,"HARIYAMA practices its straight-arm slaps in any number of locations. One hit of this POKéMON’s powerful, openhanded, straight-arm punches could snap a telephone pole in two.",144,120,60,40,60,50,2538,23,297.png,0
298,azurill,"AZURILL spins its tail as if it were a lasso, then hurls it far. The momentum of the throw sends its body flying, too. Using this unique action, one of these POKéMON managed to hurl itself a record 33 feet.",50,20,40,20,40,20,20,2,298.png,0
299,nosepass,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another.",30,45,135,45,90,30,970,10,299.png,0
300,skitty,SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.,50,45,45,35,35,50,110,6,300.png,0
